,keyword,cpc,sv,is_restricted,search_intent_list,kd,ppcd,last_updated_at
79,wardrobe installers,0.0,10,False,"['transactional', 'informational']",29.0,95.0,2026-09-06 14:41:33.776293+00:00
80,cabinetry experts,0.0,0,False,[],0.0,0.0,2026-09-06 14:41:17.130396+00:00
81,contact cupboard centre,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.310617+00:00
82,cupboard center cart,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.329312+00:00
83,cupboard center quote,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.243125+00:00
84,cupboard centre contact,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.209105+00:00
85,cupboard installation assistance,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.153311+00:00
86,custom cabinet quotes,0.0,0,False,[],0.0,0.0,2026-09-06 14:41:24.481398+00:00
87,custom cupboard help,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.346846+00:00
88,custom cupboard installation,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.080036+00:00
89,diy bathroom units,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.362377+00:00
90,diy cupboard experts,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.227008+00:00
91,diy cupboard solutions,0.0,0,False,"['commercial', 'navigational']",24.0,0.0,2026-09-06 14:41:33.585936+00:00
92,diy cupboards in mpumalanga,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.118727+00:00
93,diy cupboards solution,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.260012+00:00
94,diy cupboards support,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.101819+00:00
95,finalize selection,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.173741+00:00
96,get a quote cupboards,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.293725+00:00
97,professional cabinet fitters,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.190128+00:00
98,visit cupboard centre,0.0,0,False,[],0.0,0.0,2026-09-06 14:42:39.135059+00:00
